week,portion_transliteration,title_english,title_hebrew,torah_reading,haftarah_prophets_writings,new_testament,english_week_page,hebrew_week_page,greek_week_page,tlv_link,kjv_link,wlc_hebrew_link,sblgnt_greek_link,apocrypha_link,companion_reading_source_url,source_note,torah_audio_english,torah_audio_hebrew,torah_audio_greek,prophets_audio_english,prophets_audio_hebrew,prophets_audio_greek,writings_audio_english,writings_audio_hebrew,writings_audio_greek,gospels_audio_english,gospels_audio_hebrew,gospels_audio_greek,letters_audio_english,letters_audio_hebrew,letters_audio_greek,revelation_audio_english,revelation_audio_hebrew,revelation_audio_greek,day1_sunday_reading,day1_sefaria_link,day2_monday_reading,day2_sefaria_link,day3_tuesday_reading,day3_sefaria_link,day4_wednesday_reading,day4_sefaria_link,day5_thursday_reading,day5_sefaria_link,day6_friday_reading,day6_sefaria_link,day7_saturday_reading,day7_sefaria_link
11,Vayigash,He Drew Near,ויגש,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,scripture/english/week11.html,scripture/hebrew/week11.html,scripture/greek/week11.html,https://www.biblegateway.com/passage/?search=Genesis%2044%3A18-47%3A27%3B%20Ezek%2028%3A25-29%3A21%3B%20Rom%2010%3A1-13&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2044%3A18-47%3A27%3B%20Ezek%2028%3A25-29%3A21%3B%20Rom%2010%3A1-13&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/01044018-01047027.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/26037015-26037028.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,http://audio.esvbible.org/hw/40010001-40010042.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/44001001-44001026.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Genesis 44:18-44:30,https://www.sefaria.org/Genesis%2044%3A18-44%3A30?lang=bi,Genesis 44:31-45:7,https://www.sefaria.org/Genesis%2044%3A31-45%3A7?lang=bi,Genesis 45:8-45:18,https://www.sefaria.org/Genesis%2045%3A8-45%3A18?lang=bi,Genesis 45:19-45:27,https://www.sefaria.org/Genesis%2045%3A19-45%3A27?lang=bi,Genesis 45:28-46:27,https://www.sefaria.org/Genesis%2045%3A28-46%3A27?lang=bi,Genesis 46:28-47:10,https://www.sefaria.org/Genesis%2046%3A28-47%3A10?lang=bi,Genesis 47:11-47:27,https://www.sefaria.org/Genesis%2047%3A11-47%3A27?lang=bi
12,Vayechi,He Lived,ויחי,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,scripture/english/week12.html,scripture/hebrew/week12.html,scripture/greek/week12.html,https://www.biblegateway.com/passage/?search=Genesis%2047%3A28-50%3A26%3B%20Jer%2046%3A13-46%3A28%3B%20Eph%202%3A1-10&version=TLV,https://www.biblegateway.com/passage/?search=Genesis%2047%3A28-50%3A26%3B%20Jer%2046%3A13-46%3A28%3B%20Eph%202%3A1-10&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/01047028-01050026,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,https://audio.esvbible.org/hw/11002001-11002012.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,https://audio.esvbible.org/hw/12002001-12002012.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,"http://audio.esvbible.org/hw/43013001-43013038.mp3,44001001-44001026.mp3",https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/60001001-60001009.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Genesis 47:28-48:9,https://www.sefaria.org/Genesis%2047%3A28-48%3A9?lang=bi,Genesis 48:10-48:16,https://www.sefaria.org/Genesis%2048%3A10-48%3A16?lang=bi,Genesis 48:17-48:22,https://www.sefaria.org/Genesis%2048%3A17-48%3A22?lang=bi,Genesis 49:1-49:18,https://www.sefaria.org/Genesis%2049%3A1-49%3A18?lang=bi,Genesis 49:19-49:26,https://www.sefaria.org/Genesis%2049%3A19-49%3A26?lang=bi,Genesis 49:27-50:20,https://www.sefaria.org/Genesis%2049%3A27-50%3A20?lang=bi,Genesis 50:21-50:26,https://www.sefaria.org/Genesis%2050%3A21-50%3A26?lang=bi
13,Shemot,Names,שמות,Exodus  1:1-6:1,Judges 4:4-5:31,1 Pet 1:1-9,scripture/english/week13.html,scripture/hebrew/week13.html,scripture/greek/week13.html,https://www.biblegateway.com/passage/?search=Exodus%201%3A1-6%3A1%3B%20Judges%204%3A4-5%3A31%3B%201%20Pet%201%3A1-9&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%201%3A1-6%3A1%3B%20Judges%204%3A4-5%3A31%3B%201%20Pet%201%3A1-9&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/02001001-02006001.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/23027001-23029024.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,http://audio.esvbible.org/hw/42022001-42022071.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/45001001-45001032.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Exodus 1:1-1:17,https://www.sefaria.org/Exodus%201%3A1-1%3A17?lang=bi,Exodus 1:18-2:10,https://www.sefaria.org/Exodus%201%3A18-2%3A10?lang=bi,Exodus 2:11-2:25,https://www.sefaria.org/Exodus%202%3A11-2%3A25?lang=bi,Exodus 3:1-3:15,https://www.sefaria.org/Exodus%203%3A1-3%3A15?lang=bi,Exodus 3:16-4:17,https://www.sefaria.org/Exodus%203%3A16-4%3A17?lang=bi,Exodus 4:18-4:31,https://www.sefaria.org/Exodus%204%3A18-4%3A31?lang=bi,Exodus 5:1-6:1,https://www.sefaria.org/Exodus%205%3A1-6%3A1?lang=bi
14,Vaera,I Appeared,וארא,Exodus  6:2-9:35,Isa 6:1-7:6; 9:5-9:6,Acts 7:17-35; 1 Cor 14:18-25,scripture/english/week14.html,scripture/hebrew/week14.html,scripture/greek/week14.html,https://www.biblegateway.com/passage/?search=Exodus%206%3A2-9%3A35%3B%20Isa%206%3A1-7%3A6%3B%209%3A5-9%3A6%3B%20Acts%207%3A17-35%3B%201%20Cor%2014%3A18-25&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%206%3A2-9%3A35%3B%20Isa%206%3A1-7%3A6%3B%209%3A5-9%3A6%3B%20Acts%207%3A17-35%3B%201%20Cor%2014%3A18-25&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esv.org/hw/mq/01028010-01032002.mp3,,,https://audio.esv.org/hw/mq/28012012-28014009.mp3,,,,,,https://audio.esv.org/hw/mq/40003001-40004025.mp3,,,https://audio.esv.org/hw/mq/59001001-59002026.mp3,,,,,,Exodus 6:2-6:13,https://www.sefaria.org/Exodus%206%3A2-6%3A13?lang=bi,Exodus 6:14-6:28,https://www.sefaria.org/Exodus%206%3A14-6%3A28?lang=bi,Exodus 6:29-7:7,https://www.sefaria.org/Exodus%206%3A29-7%3A7?lang=bi,Exodus 7:8-8:6,https://www.sefaria.org/Exodus%207%3A8-8%3A6?lang=bi,Exodus 8:7-8:18,https://www.sefaria.org/Exodus%208%3A7-8%3A18?lang=bi,Exodus 8:19-9:16,https://www.sefaria.org/Exodus%208%3A19-9%3A16?lang=bi,Exodus 9:17-9:35,https://www.sefaria.org/Exodus%209%3A17-9%3A35?lang=bi
15,Bo,Come,בא,Exodus  10:1-13:16,Jer 34:8-34:22; 33:25-26,Rom 9:14-33,scripture/english/week15.html,scripture/hebrew/week15.html,scripture/greek/week15.html,https://www.biblegateway.com/passage/?search=Exodus%2010%3A1-13%3A16%3B%20Jer%2034%3A8-34%3A22%3B%2033%3A25-26%3B%20Rom%209%3A14-33&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%2010%3A1-13%3A16%3B%20Jer%2034%3A8-34%3A22%3B%2033%3A25-26%3B%20Rom%209%3A14-33&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/02010001-02013016.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/24046013-24046028.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,http://audio.esvbible.org/hw/40026001-40026075.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/46010001-46010033.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Exodus 10:1-10:11,https://www.sefaria.org/Exodus%2010%3A1-10%3A11?lang=bi,Exodus 10:12-10:23,https://www.sefaria.org/Exodus%2010%3A12-10%3A23?lang=bi,Exodus 10:24-11:3,https://www.sefaria.org/Exodus%2010%3A24-11%3A3?lang=bi,Exodus 11:4-12:20,https://www.sefaria.org/Exodus%2011%3A4-12%3A20?lang=bi,Exodus 12:21-12:28,https://www.sefaria.org/Exodus%2012%3A21-12%3A28?lang=bi,Exodus 12:29-12:51,https://www.sefaria.org/Exodus%2012%3A29-12%3A51?lang=bi,Exodus 13:1-13:16,https://www.sefaria.org/Exodus%2013%3A1-13%3A16?lang=bi
16,Beshalach,When He Sent,בשלח,Exodus  13:17-17:16,I Ki 5:26-6:13,Lk 22:7-30; 1 Cor 11:20-34,scripture/english/week16.html,scripture/hebrew/week16.html,scripture/greek/week16.html,https://www.biblegateway.com/passage/?search=Exodus%2013%3A17-17%3A16%3B%20I%20Ki%205%3A26-6%3A13%3B%20Lk%2022%3A7-30%3B%C2%A01%20Cor%2011%3A20-34&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%2013%3A17-17%3A16%3B%20I%20Ki%205%3A26-6%3A13%3B%20Lk%2022%3A7-30%3B%C2%A01%20Cor%2011%3A20-34&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/01047028-01050026,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/11002001-11002012.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,"http://audio.esvbible.org/hw/43013001-43013038.mp3,44001001-44001026.mp3",https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/58007001-58007028.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Exodus 13:17-14:8,https://www.sefaria.org/Exodus%2013%3A17-14%3A8?lang=bi,Exodus 14:9-14:14,https://www.sefaria.org/Exodus%2014%3A9-14%3A14?lang=bi,Exodus 14:15-14:25,https://www.sefaria.org/Exodus%2014%3A15-14%3A25?lang=bi,Exodus 14:26-15:26,https://www.sefaria.org/Exodus%2014%3A26-15%3A26?lang=bi,Exodus 15:27-16:10,https://www.sefaria.org/Exodus%2015%3A27-16%3A10?lang=bi,Exodus 16:11-16:36,https://www.sefaria.org/Exodus%2016%3A11-16%3A36?lang=bi,Exodus 17:1-17:16,https://www.sefaria.org/Exodus%2017%3A1-17%3A16?lang=bi
17,Yitro,Jethro,יתרו,Exodus  18:1-20:23,Ezek 43:10-43:27,Jn 6:15-71,scripture/english/week17.html,scripture/hebrew/week17.html,scripture/greek/week17.html,https://www.biblegateway.com/passage/?search=Exodus%2018%3A1-20%3A23%3B%20Ezek%2043%3A10-43%3A27%3B%20Jn%206%3A15-71&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%2018%3A1-20%3A23%3B%20Ezek%2043%3A10-43%3A27%3B%20Jn%206%3A15-71&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esv.org/hw/mq/01028010-01032002.mp3,,,https://audio.esv.org/hw/mq/28012012-28014009.mp3,,,,,,https://audio.esv.org/hw/mq/40003001-40004025.mp3,,,https://audio.esv.org/hw/mq/59001001-59002026.mp3,,,,,,Exodus 18:1-18:12,https://www.sefaria.org/Exodus%2018%3A1-18%3A12?lang=bi,Exodus 18:13-18:23,https://www.sefaria.org/Exodus%2018%3A13-18%3A23?lang=bi,Exodus 18:24-18:27,https://www.sefaria.org/Exodus%2018%3A24-18%3A27?lang=bi,Exodus 19:1-19:6,https://www.sefaria.org/Exodus%2019%3A1-19%3A6?lang=bi,Exodus 19:7-19:19,https://www.sefaria.org/Exodus%2019%3A7-19%3A19?lang=bi,Exodus 19:20-20:14,https://www.sefaria.org/Exodus%2019%3A20-20%3A14?lang=bi,Exodus 20:15-20:23,https://www.sefaria.org/Exodus%2020%3A15-20%3A23?lang=bi
18,Mishpatim,Judgments,משפטים,Exodus  21:1-24:18,I Ki 18:1-18:39,Mt 5:8-20,scripture/english/week18.html,scripture/hebrew/week18.html,scripture/greek/week18.html,https://www.biblegateway.com/passage/?search=Exodus%2021%3A1-24%3A18%3B%20I%20Ki%2018%3A1-18%3A39%3B%20Mt%205%3A8-20&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%2021%3A1-24%3A18%3B%20I%20Ki%2018%3A1-18%3A39%3B%20Mt%205%3A8-20&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esv.org/hw/mq/01028010-01032002.mp3,,,https://audio.esv.org/hw/mq/28012012-28014009.mp3,,,,,,https://audio.esv.org/hw/mq/40003001-40004025.mp3,,,https://audio.esv.org/hw/mq/59001001-59002026.mp3,,,,,,Exodus 21:1-21:19,https://www.sefaria.org/Exodus%2021%3A1-21%3A19?lang=bi,Exodus 21:20-22:3,https://www.sefaria.org/Exodus%2021%3A20-22%3A3?lang=bi,Exodus 22:4-22:26,https://www.sefaria.org/Exodus%2022%3A4-22%3A26?lang=bi,Exodus 22:27-23:5,https://www.sefaria.org/Exodus%2022%3A27-23%3A5?lang=bi,Exodus 23:6-23:19,https://www.sefaria.org/Exodus%2023%3A6-23%3A19?lang=bi,Exodus 23:20-23:25,https://www.sefaria.org/Exodus%2023%3A20-23%3A25?lang=bi,Exodus 23:26-24:18,https://www.sefaria.org/Exodus%2023%3A26-24%3A18?lang=bi
19,Terumah,Contribution,תרומה,Exodus  25:1-27:19,I Ki 7:40-7:50,Mt 5:38-42;17:1-11,scripture/english/week19.html,scripture/hebrew/week19.html,scripture/greek/week19.html,https://www.biblegateway.com/passage/?search=Exodus%2025%3A1-27%3A19%3B%20I%20Ki%207%3A40-7%3A50%3B%20Mt%205%3A38-42%3B17%3A1-11&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%2025%3A1-27%3A19%3B%20I%20Ki%207%3A40-7%3A50%3B%20Mt%205%3A38-42%3B17%3A1-11&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/02025001-02027019.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/11005018-11006013.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,"http://audio.esvbible.org/hw/40013001-40013058,40022001-40022014.mp3",https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/46003001-46003023.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Exodus 25:1-25:16,https://www.sefaria.org/Exodus%2025%3A1-25%3A16?lang=bi,Exodus 25:17-25:40,https://www.sefaria.org/Exodus%2025%3A17-25%3A40?lang=bi,Exodus 26:1-26:14,https://www.sefaria.org/Exodus%2026%3A1-26%3A14?lang=bi,Exodus 26:15-26:30,https://www.sefaria.org/Exodus%2026%3A15-26%3A30?lang=bi,Exodus 26:31-26:37,https://www.sefaria.org/Exodus%2026%3A31-26%3A37?lang=bi,Exodus 27:1-27:8,https://www.sefaria.org/Exodus%2027%3A1-27%3A8?lang=bi,Exodus 27:9-27:19,https://www.sefaria.org/Exodus%2027%3A9-27%3A19?lang=bi
20,Tetzaveh,You Shall Command,תצוה,Exodus  27:20-30:10,I Ki 7:51-8:21,2 Cor 9:1-15; Mt 5:33-37,scripture/english/week20.html,scripture/hebrew/week20.html,scripture/greek/week20.html,https://www.biblegateway.com/passage/?search=Exodus%2027%3A20-30%3A10%3B%20I%20Ki%207%3A51-8%3A21%3B%202%20Cor%209%3A1-15%3B%20Mt%205%3A33-37&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%2027%3A20-30%3A10%3B%20I%20Ki%207%3A51-8%3A21%3B%202%20Cor%209%3A1-15%3B%20Mt%205%3A33-37&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,https://audio.esv.org/hw/mq/01028010-01032002.mp3,,,https://audio.esv.org/hw/mq/28012012-28014009.mp3,,,,,,https://audio.esv.org/hw/mq/40003001-40004025.mp3,,,https://audio.esv.org/hw/mq/59001001-59002026.mp3,,,,,,Exodus 27:20-28:12,https://www.sefaria.org/Exodus%2027%3A20-28%3A12?lang=bi,Exodus 28:13-28:30,https://www.sefaria.org/Exodus%2028%3A13-28%3A30?lang=bi,Exodus 28:31-28:43,https://www.sefaria.org/Exodus%2028%3A31-28%3A43?lang=bi,Exodus 29:1-29:18,https://www.sefaria.org/Exodus%2029%3A1-29%3A18?lang=bi,Exodus 29:19-29:37,https://www.sefaria.org/Exodus%2029%3A19-29%3A37?lang=bi,Exodus 29:38-29:46,https://www.sefaria.org/Exodus%2029%3A38-29%3A46?lang=bi,Exodus 30:1-30:10,https://www.sefaria.org/Exodus%2030%3A1-30%3A10?lang=bi
21,Ki Tisa,When You Lift,כי תשא,Exodus  30:11-34:35,Isa 43:21-44:23,Heb 13:10-17,scripture/english/week21.html,scripture/hebrew/week21.html,scripture/greek/week21.html,https://www.biblegateway.com/passage/?search=Exodus%2030%3A11-34%3A35%3B%20Isa%2043%3A21-44%3A23%3B%20Heb%2013%3A10-17&version=TLV,https://www.biblegateway.com/passage/?search=Exodus%2030%3A11-34%3A35%3B%20Isa%2043%3A21-44%3A23%3B%20Heb%2013%3A10-17&version=KJV,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=WLC,https://www.biblegateway.com/passage/?search=Genesis%2028%3A10-32%3A3%3B%20Amos%202%3A6-3%3A8%3B%20Rom%209%3A1-31&version=SBLGNT,https://www.kingjamesbibleonline.org/Apocrypha-Books/,,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal,http://audio.esvbible.org/hw/02030011-02034035.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/11018001-11018039.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,http://audio.esvbible.org/hw/40009001-40011030.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,http://audio.esvbible.org/hw/66019001-66019021.mp3,https://mechon-mamre.org/mp3/t0521.mp3,https://info2.sermon-online.com/greek/Bible/Greek-Audio_Bible_Complete_Old_Testament_OT_MP3.mp3,,,,Exodus 30:11-31:17,https://www.sefaria.org/Exodus%2030%3A11-31%3A17?lang=bi,Exodus 31:18-33:11,https://www.sefaria.org/Exodus%2031%3A18-33%3A11?lang=bi,Exodus 33:12-33:16,https://www.sefaria.org/Exodus%2033%3A12-33%3A16?lang=bi,Exodus 33:17-33:23,https://www.sefaria.org/Exodus%2033%3A17-33%3A23?lang=bi,Exodus 34:1-34:9,https://www.sefaria.org/Exodus%2034%3A1-34%3A9?lang=bi,Exodus 34:10-34:26,https://www.sefaria.org/Exodus%2034%3A10-34%3A26?lang=bi,Exodus 34:27-34:35,https://www.sefaria.org/Exodus%2034%3A27-34%3A35?lang=bi
